[2024-06-12T15:04:44.565Z] info: 	[Requête Client] /launcher/server/version
[2024-06-12T15:04:46.757Z] debug: 	Saved 1 profiles, took: 0.07ms
[2024-06-12T15:05:06.785Z] debug: 	Saved 1 profiles, took: 0.06ms
[2024-06-12T15:05:07.021Z] info: 	[Requête Client] /client/game/profile/create
[2024-06-12T15:05:07.036Z] debug: 	unable to sort 17 slots, no slots found
[2024-06-12T15:05:07.036Z] debug: 	unable to sort 4 slots, no slots found
[2024-06-12T15:05:07.036Z] debug: 	unable to sort 20 slots, no slots found
[2024-06-12T15:05:07.036Z] debug: 	unable to sort 6 slots, no slots found
[2024-06-12T15:05:07.036Z] debug: 	Updating generator area slots to a size of 6 + hideout management skill
[2024-06-12T15:05:07.036Z] debug: 	Updating water collector area slots to a size of 1 + hideout management skill
[2024-06-12T15:05:07.036Z] debug: 	Updating air filter area slots to a size of 3 + hideout management skill
[2024-06-12T15:05:07.037Z] debug: 	Updating bitcoin farm area slots to a size of 50 + hideout management skill
[2024-06-12T15:05:07.038Z] debug: 	generated player scav loadout with karma level 0
[2024-06-12T15:05:07.139Z] info: 	[Requête Client] /client/game/profile/list
[2024-06-12T15:05:07.290Z] info: 	[Requête Client] /client/game/profile/select
[2024-06-12T15:05:07.346Z] info: 	[Requête Client] /client/profile/status
[2024-06-12T15:05:07.401Z] info: 	[Requête Client] /client/weather
[2024-06-12T15:05:07.402Z] info: 	[Requête Client] /client/locations
[2024-06-12T15:05:07.403Z] debug: 	Map: base has no base json file, skipping generation
[2024-06-12T15:05:08.175Z] info: 	[Requête Client] /client/handbook/templates
[2024-06-12T15:05:09.444Z] info: 	[Requête Client] /client/hideout/areas
[2024-06-12T15:05:09.587Z] info: 	[Requête Client] /client/hideout/qte/list
[2024-06-12T15:05:09.628Z] info: 	[Requête Client] /client/hideout/settings
[2024-06-12T15:05:09.679Z] info: 	[Requête Client] /client/hideout/production/recipes
[2024-06-12T15:05:09.779Z] info: 	[Requête Client] /client/hideout/production/scavcase/recipes
[2024-06-12T15:05:09.830Z] info: 	[Requête Client] /client/builds/list
[2024-06-12T15:05:11.393Z] info: 	[Requête Client] /singleplayer/log
[2024-06-12T15:05:11.393Z] debug: 	[Aki.Core] 1077896
[2024-06-12T15:05:11.395Z] info: 	[Requête Client] /singleplayer/log
[2024-06-12T15:05:11.395Z] debug: 	[Aki.Core] 1498960
[2024-06-12T15:05:11.396Z] info: 	[Requête Client] /singleplayer/log
[2024-06-12T15:05:11.396Z] debug: 	[Aki.Core] 0
[2024-06-12T15:05:11.397Z] info: 	[Requête Client] /singleplayer/log
[2024-06-12T15:05:11.397Z] debug: 	[Aki.Core] 1077896
[2024-06-12T15:05:11.398Z] info: 	[Requête Client] /singleplayer/log
[2024-06-12T15:05:11.398Z] debug: 	[Aki.Core] 1498960
[2024-06-12T15:05:11.399Z] info: 	[Requête Client] /singleplayer/log
[2024-06-12T15:05:11.400Z] debug: 	[Aki.Core] 0
[2024-06-12T15:05:12.169Z] info: 	[Requête Client] /client/notifier/channel/create
[2024-06-12T15:05:12.171Z] info: 	[Requête Client] /client/profile/status
[2024-06-12T15:05:12.180Z] info: 	[Requête Client] /client/trading/customization/storage
[2024-06-12T15:05:12.243Z] info: 	[WS] joueur: Zoin (6669b8c00002c2721cec4b00) est connecté
[2024-06-12T15:05:12.260Z] info: 	[Requête Client] /client/server/list
[2024-06-12T15:05:12.261Z] info: 	[Requête Client] /client/match/group/current
[2024-06-12T15:05:12.262Z] info: 	[Requête Client] /client/friend/list
[2024-06-12T15:05:12.263Z] info: 	[Requête Client] /client/friend/request/list/inbox
[2024-06-12T15:05:12.264Z] info: 	[Requête Client] /client/mail/dialog/list
[2024-06-12T15:05:12.265Z] info: 	[Requête Client] /client/friend/request/list/outbox
[2024-06-12T15:05:12.265Z] info: 	[Requête Client] /client/quest/list
[2024-06-12T15:05:12.341Z] info: 	[Requête Client] /client/repeatalbeQuests/activityPeriods
[2024-06-12T15:05:12.402Z] info: 	[Requête Client] /client/achievement/statistic
[2024-06-12T15:05:12.451Z] info: 	[Requête Client] /client/achievement/list
[2024-06-12T15:05:26.825Z] debug: 	Saved 1 profiles, took: 7.46ms
[2024-06-12T15:05:27.549Z] info: 	[Requête Client] /client/checkVersion
[2024-06-12T15:05:37.465Z] info: 	[Requête Client] /player/health/sync
[2024-06-12T15:05:42.408Z] info: 	[Requête Client] /client/repeatalbeQuests/activityPeriods
[2024-06-12T15:05:44.568Z] info: 	[Requête Client] /launcher/profile/info
[2024-06-12T15:05:44.569Z] info: 	[Requête Client] /launcher/server/version
[2024-06-12T15:05:44.570Z] info: 	[Requête Client] /files/launcher/side_bear.png
[2024-06-12T15:05:46.851Z] debug: 	Saved 1 profiles, took: 4.99ms
[2024-06-12T15:06:06.868Z] debug: 	Saved 1 profiles, took: 4.83ms
[2024-06-12T15:06:10.966Z] info: 	[Requête Client] /files/achievement/Standard_44.png
[2024-06-12T15:06:10.983Z] info: 	[Requête Client] /files/achievement/Rare21.png
[2024-06-12T15:06:10.984Z] info: 	[Requête Client] /files/achievement/Rare22.png
[2024-06-12T15:06:10.984Z] info: 	[Requête Client] /files/achievement/Rare23.png
[2024-06-12T15:06:10.984Z] info: 	[Requête Client] /files/achievement/Rare_44.png
[2024-06-12T15:06:11.000Z] info: 	[Requête Client] /files/achievement/Legendary_42.png
[2024-06-12T15:06:12.452Z] info: 	[Requête Client] /client/repeatalbeQuests/activityPeriods
[2024-06-12T15:06:17.383Z] info: 	[Requête Client] /files/trader/avatar/59b91ca086f77469a81232e4.jpg
[2024-06-12T15:06:17.390Z] info: 	[Requête Client] /files/trader/avatar/59b91cab86f77469aa5343ca.jpg
[2024-06-12T15:06:17.391Z] info: 	[Requête Client] /files/trader/avatar/579dc571d53a0658a154fbec.jpg
[2024-06-12T15:06:17.391Z] info: 	[Requête Client] /files/trader/avatar/59b91cb486f77469a81232e5.jpg
[2024-06-12T15:06:17.392Z] info: 	[Requête Client] /files/trader/avatar/59b91cbd86f77469aa5343cb.jpg
[2024-06-12T15:06:17.392Z] info: 	[Requête Client] /files/trader/avatar/5a7c2ebb86f7746e324a06ab.jpg
[2024-06-12T15:06:17.396Z] info: 	[Requête Client] /files/trader/avatar/5ac3b86a86f77461491d1ad8.jpg
[2024-06-12T15:06:17.406Z] info: 	[Requête Client] /files/trader/avatar/5c06531a86f7746319710e1b.jpg
[2024-06-12T15:06:17.427Z] info: 	[Requête Client] /client/items/prices/54cb50c76803fa8b248b4571
[2024-06-12T15:06:17.514Z] info: 	[Requête Client] /client/trading/api/getTraderAssort/54cb50c76803fa8b248b4571
[2024-06-12T15:06:26.904Z] debug: 	Saved 1 profiles, took: 5.00ms
[2024-06-12T15:06:31.492Z] info: 	[Requête Client] /files/quest/icon/65899d03adeac0191c51e880.jpg
[2024-06-12T15:06:42.253Z] debug: 	[WS] Pinging joueur: 6669b8c00002c2721cec4b00
